rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,Date ,Latitude,Longitude
1,T-Series,"245,000,000","228,000,000,000",Music,T-Series,"20,082",India,IN,Music,1,1,1,"2,258,000,000","$564,600.00 ","$9,000,000.00 ","$6,800,000.00 ","$108,400,000.00 ","2,000,000",13-Mar-06,20.593684,78.96288
2,YouTube Movies,"170,000,000",0,Film & Animation,youtubemovies,1,United States,US,Games,"4,055,159","7,670","7,423",12,$0.00 ,$0.10 ,$0.00 ,$0.60 ,0,5-Mar-06,37.09024,-95.712891
3,MrBeast,"166,000,000","28,368,841,870",Entertainment,MrBeast,741,United States,US,Entertainment,48,1,1,"1,348,000,000","$337,000.00 ","$5,400,000.00 ","$4,000,000.00 ","$64,700,000.00 ","8,000,000",20-Feb-12,37.09024,-95.712891
4,Cocomelon - Nursery Rhymes,"162,000,000","164,000,000,000",Education,Cocomelon - Nursery Rhymes,966,United States,US,Education,2,2,1,"1,975,000,000","$493,800.00 ","$7,900,000.00 ","$5,900,000.00 ","$94,800,000.00 ","1,000,000",1-Sep-06,37.09024,-95.712891
5,SET India,"159,000,000","148,000,000,000",Shows,SET India,"116,536",India,IN,Entertainment,3,2,2,"1,824,000,000","$455,900.00 ","$7,300,000.00 ","$5,500,000.00 ","$87,500,000.00 ","1,000,000",20-Sep-06,20.593684,78.96288
6,Music,"119,000,000",0,NA,Music,0,NA,NA,Music,"4,057,944",NA,NA,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,24-Sep-13,nan,nan
7,ýýý Kids Diana Show,"112,000,000","93,247,040,539",People & Blogs,ýýý Kids Diana Show,"1,111",United States,US,Entertainment,5,3,3,"731,674,000","$182,900.00 ","$2,900,000.00 ","$2,200,000.00 ","$35,100,000.00 ",0,12-May-15,37.09024,-95.712891
8,PewDiePie,"111,000,000","29,058,044,447",Gaming,PewDiePie,"4,716",Swedish,JP,Entertainment,44,1,4,"39,184,000","$9,800.00 ","$156,700.00 ","$117,600.00 ","$1,900,000.00 ",0,29-Apr-10,36.204824,138.252924
9,Like Nastya,"106,000,000","90,479,060,027",People & Blogs,Like Nastya Vlog,493,Russia,RU,People,630,5,25,"48,947,000","$12,200.00 ","$195,800.00 ","$146,800.00 ","$2,300,000.00 ","100,000",14-Jan-16,61.52401,105.318756
10,Vlad and Niki,"98,900,000","77,180,169,894",Entertainment,Vlad and Niki,574,United States,US,Entertainment,8,5,6,"580,574,000","$145,100.00 ","$2,300,000.00 ","$1,700,000.00 ","$27,900,000.00 ","600,000",23-Apr-18,37.09024,-95.712891
11,Zee Music Company,"96,700,000","57,856,289,381",Music,Zee Music Company,"8,548",India,IN,Music,12,3,2,"803,613,000","$200,900.00 ","$3,200,000.00 ","$2,400,000.00 ","$38,600,000.00 ","1,100,000",12-Mar-14,20.593684,78.96288
12,WWE,"96,000,000","77,428,473,662",Sports,WWE,"70,127",United States,US,Sports,7,6,1,"714,614,000","$178,700.00 ","$2,900,000.00 ","$2,100,000.00 ","$34,300,000.00 ","600,000",11-May-07,37.09024,-95.712891
13,Gaming,"93,600,000",0,NA,Gaming,0,NA,NA,Games,"4,057,944",NA,1,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,15-Dec-13,nan,nan
14,BLACKPINK,"89,800,000","32,144,597,566",People & Blogs,BLACKPINK,543,South Korea,KR,Music,32,1,3,"498,930,000","$124,700.00 ","$2,000,000.00 ","$1,500,000.00 ","$23,900,000.00 ","700,000",29-Jun-16,35.907757,127.766922
15,Goldmines,"86,900,000","24,118,230,580",Film & Animation,goldmines,1,NA,NA,Music,"4,056,562",NA,"5,663",18,$0.00 ,$0.10 ,$0.10 ,$0.90 ,0,15-Aug-06,nan,nan
16,Sony SAB,"83,000,000","101,000,000,000",Shows,Sony SAB,"71,270",India,IN,Entertainment,4,5,7,"1,657,000,000","$414,300.00 ","$6,600,000.00 ","$5,000,000.00 ","$79,600,000.00 ","1,100,000",4-Aug-07,20.593684,78.96288
17,5-Minute Crafts,"80,100,000","26,236,790,209",Howto & Style,5-Minute Crafts 2.0,1,United Kingdom,GB,Entertainment,"4,057,901","4,797","6,781",1,$0.00 ,$0.00 ,$0.00 ,$0.10 ,0,27-Jul-20,55.378051,-3.435973
18,BANGTANTV,"75,600,000","20,826,993,957",Music,BANGTANTV,"2,281",South Korea,KR,Music,112,2,4,"168,290,000","$42,100.00 ","$673,200.00 ","$504,900.00 ","$8,100,000.00 ","400,000",17-Dec-12,35.907757,127.766922
19,Sports,"75,000,000",0,NA,Sports,3,United States,US,Entertainment,"3,898,122","6,266","5,395",16,$0.00 ,$0.10 ,$0.10 ,$0.80 ,0,30-Jan-06,37.09024,-95.712891
20,Justin Bieber,"71,600,000","30,608,119,724",Music,Justin Bieber,249,Canada,CA,Music,38,1,6,"176,326,000","$44,100.00 ","$705,300.00 ","$529,000.00 ","$8,500,000.00 ","100,000",15-Jan-07,56.130366,-106.346771
21,HYBE LABELS,"71,300,000","28,634,566,938",Music,HYBE LABELS,"1,337",South Korea,KR,Music,46,3,5,"598,173,000","$149,500.00 ","$2,400,000.00 ","$1,800,000.00 ","$28,700,000.00 ","900,000",4-Jun-08,35.907757,127.766922
22,Zee TV,"70,500,000","73,139,054,467",Entertainment,Zee TV,"129,204",India,IN,Entertainment,9,6,8,"1,707,000,000","$426,800.00 ","$6,800,000.00 ","$5,100,000.00 ","$81,900,000.00 ","900,000",11-Dec-05,20.593684,78.96288
23,Pinkfong Baby Shark - Kids' Songs & Stories,"68,200,000","38,843,229,963",Education,Pinkfong Baby Shark - Kids' Songs & Stories,"2,865",United States,US,Education,23,8,2,"473,387,000","$118,300.00 ","$1,900,000.00 ","$1,400,000.00 ","$22,700,000.00 ","600,000",14-Dec-11,37.09024,-95.712891
24,Canal KondZilla,"66,500,000","36,775,585,925",Music,Canal KondZilla,"2,572",Brazil,BR,Music,25,1,7,"447,223,000",$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,21-Mar-12,-14.235004,-51.92528
25,ChuChu TV Nursery Rhymes & Kids Songs,"65,900,000","45,757,850,229",Education,ChuChu TV Nursery Rhymes & Kids Songs,633,India,IN,Education,18,7,3,"420,292,000","$105,100.00 ","$1,700,000.00 ","$1,300,000.00 ","$20,200,000.00 ","500,000",9-Feb-13,20.593684,78.96288
26,Shemaroo Filmi Gaane,"65,600,000","28,648,024,439",Music,Shemaroo Filmi Gaane,"8,502",India,IN,Music,47,8,8,"254,961,000","$63,700.00 ","$1,000,000.00 ","$764,900.00 ","$12,200,000.00 ","400,000",11-Jun-10,20.593684,78.96288
27,Colors TV,"64,600,000","61,510,906,457",Shows,Colors TV,"112,915",India,IN,Entertainment,10,9,9,"1,188,000,000","$296,900.00 ","$4,800,000.00 ","$3,600,000.00 ","$57,000,000.00 ","1,100,000",13-Jun-08,20.593684,78.96288
28,T-Series Bhakti Sagar,"61,000,000","29,533,230,328",Music,T- SERIES BHAKTI SAGAR,13,India,IN,Music,"4,053,938","5,803","5,744",10,$0.00 ,$0.00 ,$0.00 ,$0.50 ,0,3-Aug-18,20.593684,78.96288
29,Dude Perfect,"59,500,000","16,241,549,158",Sports,Dude Perfect,389,United States,US,Sports,182,9,3,"141,200,000","$35,300.00 ","$564,800.00 ","$423,600.00 ","$6,800,000.00 ","100,000",17-Mar-09,37.09024,-95.712891
30,Movieclips,"59,500,000","59,316,472,754",Film & Animation,Movieclips,"39,113",United States,US,Film,11,9,3,"114,668,000","$28,700.00 ","$458,700.00 ","$344,000.00 ","$5,500,000.00 ","100,000",28-Apr-06,37.09024,-95.712891
31,Tips Official,"59,300,000","33,431,802,698",Music,Tips Official,"4,741",India,IN,Music,30,11,10,"422,634,000","$105,700.00 ","$1,700,000.00 ","$1,300,000.00 ","$20,300,000.00 ","600,000",22-May-07,20.593684,78.96288
32,El Reino Infantil,"58,400,000","57,271,630,846",Music,El Reino Infantil,"1,510",Argentina,AR,Music,13,1,11,"611,828,000","$153,000.00 ","$2,400,000.00 ","$1,800,000.00 ","$29,400,000.00 ","600,000",2-Jun-11,-38.416097,-63.616672
33,Wave Music,"58,000,000","40,602,020,243",Music,Wave Music,"19,487",India,IN,Music,21,12,12,"232,025,000","$58,000.00 ","$928,100.00 ","$696,100.00 ","$11,100,000.00 ","500,000",29-Oct-14,20.593684,78.96288
34,Aaj Tak,"57,600,000","25,307,753,534",News & Politics,Aaj Tak,"283,775",India,IN,News,71,13,1,"461,148,000","$115,300.00 ","$1,800,000.00 ","$1,400,000.00 ","$22,100,000.00 ","500,000",27-Aug-09,20.593684,78.96288
35,Sony Music India,"57,200,000","28,837,144,516",Music,Sony Music India,"3,882",India,IN,Music,45,14,13,"259,310,000","$64,800.00 ","$1,000,000.00 ","$777,900.00 ","$12,400,000.00 ","300,000",2-Sep-09,20.593684,78.96288
36,EminemMusic,"56,900,000","27,073,872,856",Music,EminemMusic,156,United States,US,Music,59,10,14,"260,193,000","$65,000.00 ","$1,000,000.00 ","$780,600.00 ","$12,500,000.00 ","300,000",9-Feb-07,37.09024,-95.712891
37,Marshmello,"56,400,000","14,696,003,229",Entertainment,Marshmello,436,United States,US,Music,233,11,15,"112,100,000","$28,000.00 ","$448,400.00 ","$336,300.00 ","$5,400,000.00 ","100,000",6-Apr-15,37.09024,-95.712891
38,YRF,"54,600,000","35,302,243,691",Film & Animation,YRF,"3,707",India,IN,Music,28,15,16,"512,093,000","$128,000.00 ","$2,000,000.00 ","$1,500,000.00 ","$24,600,000.00 ","500,000",7-Jun-06,20.593684,78.96288
39,LooLoo Kids - Nursery Rhymes and Children's Songs,"54,000,000","32,312,431,239",Music,LooLoo Kids - Nursery Rhymes and Children's ï¿½,11,NA,NA,NA,"3,800,129",NA,NA,159,$0.00 ,$0.60 ,$0.50 ,$8.00 ,0,29-Nov-16,nan,nan
40,Ed Sheeran,"53,500,000","30,367,676,736",Music,Ed Sheeran,383,United Kingdom,GB,Music,39,1,18,"202,720,000","$50,700.00 ","$810,900.00 ","$608,200.00 ","$9,700,000.00 ","100,000",8-Aug-06,55.378051,-3.435973
41,Infobells - Hindi,"53,300,000","30,516,172,739",Education,Infobells - Hindi,577,India,IN,Education,37,16,4,"815,949,000","$204,000.00 ","$3,300,000.00 ","$2,400,000.00 ","$39,200,000.00 ","1,600,000",6-Jun-14,20.593684,78.96288
42,Taylor Swift,"52,900,000","29,884,657,286",Music,Taylor Swift,216,United States,US,Music,40,13,19,"528,392,000","$132,100.00 ","$2,100,000.00 ","$1,600,000.00 ","$25,400,000.00 ","800,000",20-Sep-06,37.09024,-95.712891
43,Ariana Grande,"52,700,000","24,004,842,608",Music,Ariana Grande,147,United States,US,Music,78,14,20,"160,216,000","$40,100.00 ","$640,900.00 ","$480,600.00 ","$7,700,000.00 ","100,000",22-Jan-07,37.09024,-95.712891
44,BillionSurpriseToys  - Nursery Rhymes & Cartoons,"52,200,000","9,877,365,274",Education,BillionSurpriseToys  - Nursery Rhymes & Cartï¿½,847,United States,US,Education,450,15,5,"266,747,000","$66,700.00 ","$1,100,000.00 ","$800,200.00 ","$12,800,000.00 ","600,000",25-Oct-13,37.09024,-95.712891
45,JuegaGerman,"48,100,000","14,631,710,289",Gaming,JuegaGerman,"2,052",Chile,CL,Games,237,1,2,"66,388,000","$16,600.00 ","$265,600.00 ","$199,200.00 ","$3,200,000.00 ","200,000",19-May-13,-35.675147,-71.542969
46,Billie Eilish,"47,900,000","13,626,331,061",Music,Billie Eilish,65,United States,US,Music,263,16,21,"146,862,000","$36,700.00 ","$587,400.00 ","$440,600.00 ","$7,000,000.00 ","200,000",6-Feb-13,37.09024,-95.712891
47,Get Movies,"47,500,000","30,788,679,536",Entertainment,Get Movies,"3,322",Russia,RU,Film,35,1,4,"306,540,000","$76,600.00 ","$1,200,000.00 ","$919,600.00 ","$14,700,000.00 ","700,000",16-Dec-06,61.52401,105.318756
48,Shemaroo,"47,400,000","22,519,705,183",Entertainment,Shemaroo,"11,451",India,IN,Entertainment,97,17,10,"232,744,000","$58,200.00 ","$931,000.00 ","$698,200.00 ","$11,200,000.00 ","500,000",1-Sep-07,20.593684,78.96288
49,Badabun,"46,800,000","19,398,045,702",Entertainment,badabun,1,NA,NA,Music,"4,047,729",NA,"5,525",440,$0.10 ,$2.00 ,$1.00 ,$21.00 ,75,21-Jul-07,nan,nan
50,SonyMusicIndiaVEVO,"46,600,000","27,286,058,807",Music,SonyMusicIndiaVEVO,"3,444",United States,US,Music,55,17,22,"314,505,000","$78,600.00 ","$1,300,000.00 ","$943,500.00 ","$15,100,000.00 ","400,000",2-Sep-09,37.09024,-95.712891
51,A4,"46,300,000","22,936,630,813",Gaming,aefour,1,Cuba,CU,People,"4,053,056",99,"5,359",94,$0.00 ,$0.40 ,$0.30 ,$5.00 ,10,11-Mar-06,21.521757,-77.781167
52,Bad Bunny,"46,100,000","30,686,342,319",Music,badbunny,1,NA,NA,Sports,"4,046,070",NA,"4,501",1,$0.00 ,$0.00 ,$0.00 ,$0.10 ,0,15-Nov-05,nan,nan
53,FerNAfloo,"46,100,000","10,323,391,593",Gaming,FerNAfloo,543,El Salvador,SV,Games,419,1,3,"33,842,000","$8,500.00 ","$135,400.00 ","$101,500.00 ","$1,600,000.00 ","200,000",2-May-11,13.794185,-88.89653
54,Voot Kids,"45,500,000","21,388,725,229",Entertainment,Voot Kids,"4,660",India,IN,Entertainment,105,18,13,"233,988,000","$58,500.00 ","$936,000.00 ","$702,000.00 ","$11,200,000.00 ","400,000",23-Nov-16,20.593684,78.96288
55,Felipe Neto,"45,200,000","16,602,198,273",Entertainment,Felipe Neto,"4,331",Brazil,BR,Entertainment,174,2,14,"130,359,000","$32,600.00 ","$521,400.00 ","$391,100.00 ","$6,300,000.00 ","200,000",16-May-06,-14.235004,-51.92528
56,Vocï¿½ï¿½ï¿½,"44,700,000","7,828,610,828",Entertainment,Vocï¿½ï¿½ï¿½,"1,558",Brazil,BR,Entertainment,681,3,15,"48,032,000","$12,000.00 ","$192,100.00 ","$144,100.00 ","$2,300,000.00 ","100,000",1-Sep-13,-14.235004,-51.92528
57,HAR PAL GEO,"44,600,000","41,139,050,371",Entertainment,HAR PAL GEO,"100,755",Pakistan,PK,Entertainment,20,1,15,"1,337,000,000","$334,300.00 ","$5,300,000.00 ","$4,000,000.00 ","$64,200,000.00 ","1,300,000",2-Jan-08,30.375321,69.345116
58,BRIGHT SIDE,"44,500,000","10,708,531,817",Howto & Style,brightside,0,NA,NA,NA,"4,057,944",NA,NA,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1,18-Nov-05,nan,nan
59,Katy Perry,"44,200,000","25,458,952,022",Music,Katy Perry,128,United States,US,Music,70,19,24,"134,242,000","$33,600.00 ","$537,000.00 ","$402,700.00 ","$6,400,000.00 ","100,000",1-Jun-08,37.09024,-95.712891
60,whinderssonnunes,"44,200,000","4,274,709,210",Comedy,whinderssonnunes,558,Brazil,BR,Comedy,"1,741",4,1,"26,683,000","$6,700.00 ","$106,700.00 ","$80,100.00 ","$1,300,000.00 ",0,21-Jan-13,-14.235004,-51.92528
61,ABS-CBN Entertainment,"44,200,000","50,292,540,392",People & Blogs,ABS-CBN Entertainment,"193,890",Philippines,PH,Entertainment,16,1,16,"176,629,000","$44,200.00 ","$706,500.00 ","$529,900.00 ","$8,500,000.00 ","300,000",16-Jul-08,12.879721,121.774017
62,Alan Walker,"43,700,000","12,884,264,778",Music,alanwalker,8,Thailand,TH,Film,"4,056,116","4,026","5,270",22,$0.00 ,$0.10 ,$0.10 ,$1.00 ,0,12-May-06,15.870032,100.992541
63,HolaSoyGerman.,"43,600,000","4,831,311,245",Entertainment,holasoygerman. 2,6,NA,NA,People,"4,047,806",NA,"7,716",4,$0.00 ,$0.00 ,$0.00 ,$0.20 ,0,27-May-16,nan,nan
64,Shakira,"43,500,000","27,568,757,295",People & Blogs,Shakira,326,Colombia,CO,Howto,52,1,3,"353,412,000","$88,400.00 ","$1,400,000.00 ","$1,100,000.00 ","$17,000,000.00 ","500,000",16-Oct-05,4.570868,-74.297333
65,ýýýýýýýý ýý ýýýýýýýýýýýýýý,"43,200,000","36,458,726,976",Film & Animation,ýýýýýýýý ýý ýýýýýýýýýýýýýý,"1,478",Russia,RU,Education,26,2,6,"303,780,000","$75,900.00 ","$1,200,000.00 ","$911,300.00 ","$14,600,000.00 ","300,000",31-May-11,61.52401,105.318756
66,ARY Digital HD,"43,200,000","37,939,780,685",Entertainment,ARY Digital HD,"109,871",Pakistan,PK,Entertainment,24,2,18,"1,149,000,000","$287,300.00 ","$4,600,000.00 ","$3,400,000.00 ","$55,200,000.00 ","900,000",11-Jul-16,30.375321,69.345116
67,Speed Records,"42,500,000","26,820,902,622",Music,Speed Records,"10,938",India,IN,Music,62,19,26,"159,757,000","$39,900.00 ","$639,000.00 ","$479,300.00 ","$7,700,000.00 ","100,000",22-Nov-12,20.593684,78.96288
68,Masha and The Bear,"42,400,000","24,519,022,988",Shows,Masha and The Bear,"1,218",United States,US,Film,74,20,5,"670,459,000","$167,600.00 ","$2,700,000.00 ","$2,000,000.00 ","$32,200,000.00 ","1,000,000",17-Sep-14,37.09024,-95.712891
69,Like Nastya Show,"42,400,000","19,547,696,190",Entertainment,Like Nastya Show,618,United States,US,Entertainment,128,21,19,"53,202,000","$13,300.00 ","$212,800.00 ","$159,600.00 ","$2,600,000.00 ",0,14-Nov-17,37.09024,-95.712891
70,Rihanna,"41,900,000","22,477,745,835",Entertainment,Rihanna,84,Barbados,BB,Music,98,1,27,"182,926,000","$45,700.00 ","$731,700.00 ","$548,800.00 ","$8,800,000.00 ","100,000",6-Nov-05,13.193887,-59.543198
71,Ishtar Music,"41,400,000","17,608,931,161",Trailers,Ishtar Music,"4,510",India,IN,Music,155,20,28,"180,942,000","$45,200.00 ","$723,800.00 ","$542,800.00 ","$8,700,000.00 ","400,000",22-Sep-05,20.593684,78.96288
72,Kimberly Loaiza,"41,300,000","5,603,111,948",People & Blogs,Kimberly Loaiza,291,Mexico,MX,People,"1,157",2,1,"136,745,000","$34,200.00 ","$547,000.00 ","$410,200.00 ","$6,600,000.00 ","400,000",16-Nov-16,23.634501,-102.552784
73,Little Baby Bum - Nursery Rhymes & Kids Songs,"40,900,000","39,450,824,833",Education,Little Baby Bum - Nursery Rhymes & Kids Songs,"2,423",United States,US,Education,22,22,7,"98,775,000","$24,700.00 ","$395,100.00 ","$296,300.00 ","$4,700,000.00 ","100,000",22-Jun-11,37.09024,-95.712891
74,Luisito Comunica,"40,600,000","8,670,473,639",Comedy,Luis Arturo Villar Sudek,0,Mexico,MX,Comedy,"3,612,215","3,021",NA,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,18-Jun-10,23.634501,-102.552784
75,elrubiusOMG,"40,400,000","7,410,536,668",Gaming,elrubiusOMG,703,NA,NA,Entertainment,756,NA,21,"5,773,000","$1,400.00 ","$23,100.00 ","$17,300.00 ","$277,100.00 ",0,20-Dec-11,nan,nan
76,Toys and Colors,"40,300,000","47,005,053,156",Entertainment,Toys and colors,4,NA,NA,People,"3,989,650",NA,"7,330",5,$0.00 ,$0.00 ,$0.00 ,$0.20 ,0,14-Jun-18,nan,nan
77,shfa2 - ï¿½ï¿½,"39,700,000","23,884,824,160",People & Blogs,shfa2 - ï¿½ï¿½,"1,596",United Arab Emirates,AE,People,81,1,2,"247,731,000","$61,900.00 ","$990,900.00 ","$743,200.00 ","$11,900,000.00 ","300,000",6-Nov-17,23.424076,53.847818
78,LUCCAS NETO - LUCCAS TOON,"39,400,000","22,302,547,082",People & Blogs,LUCCAS NETO- LUCCAS TOON,1,NA,NA,Games,"4,057,895",NA,"7,498",2,$0.00 ,$0.00 ,$0.00 ,$0.10 ,0,25-Mar-21,nan,nan
79,CarryMinati,"39,200,000","3,294,013,141",Comedy,CarryMinati,186,India,IN,Comedy,"2,487",21,2,"78,688,000","$19,700.00 ","$314,800.00 ","$236,100.00 ","$3,800,000.00 ","700,000",30-Oct-14,20.593684,78.96288
80,XXXTENTACION,"39,200,000","10,507,474,316",Music,XXXTENTACION,133,United States,US,Music,403,24,29,"58,362,000","$14,600.00 ","$233,400.00 ","$175,100.00 ","$2,800,000.00 ","100,000",23-Jun-15,37.09024,-95.712891
81,Super Simple Songs - Kids Songs,"39,200,000","44,900,897,958",Education,Super Simple Songs - Kids Songs,744,Canada,CA,Education,19,2,8,"560,756,000","$140,200.00 ","$2,200,000.00 ","$1,700,000.00 ","$26,900,000.00 ","400,000",8-Sep-06,56.130366,-106.346771
82,Mikecrack,"39,100,000","16,118,181,673",Gaming,Mikecrack,"1,876",Spain,ES,Games,188,1,4,"264,108,000","$66,000.00 ","$1,100,000.00 ","$792,300.00 ","$12,700,000.00 ","800,000",13-Jul-15,40.463667,-3.74922
83,WorkpointOfficial,"39,000,000","36,131,228,583",Entertainment,WorkpointOfficial,"72,580",Thailand,TH,Entertainment,27,1,24,"130,461,000","$32,600.00 ","$521,800.00 ","$391,400.00 ","$6,300,000.00 ","200,000",5-Nov-12,15.870032,100.992541
84,GR6 EXPLODE,"38,900,000","25,154,232,306",Music,GR6 EXPLODE,"3,043",Brazil,BR,Music,73,6,30,"1,635,000,000","$408,700.00 ","$6,500,000.00 ","$4,900,000.00 ","$78,500,000.00 ","100,000",5-Aug-14,-14.235004,-51.92528
85,TEDx Talks,"38,600,000","7,339,333,120",Nonprofits & Activism,TEDx Talks,"200,933",United States,US,Nonprofit,768,25,1,"45,638,000","$11,400.00 ","$182,600.00 ","$136,900.00 ","$2,200,000.00 ","100,000",23-Jun-09,37.09024,-95.712891
86,shfa,"38,400,000","21,528,116,909",People & Blogs,ýýýýýýýýýý ýýýýýý,982,Saudi Arabia,SA,Games,"150,882",774,"1,454","1,589,000",$397.00 ,"$6,400.00 ","$4,800.00 ","$76,300.00 ","2,000",24-May-18,23.885942,45.079162
87,Goldmines Gaane Sune Ansune,"38,300,000","16,718,192,386",Music,Goldmines Gaane Sune Ansune,"3,532",India,IN,Music,170,22,31,"814,756,000","$203,700.00 ","$3,300,000.00 ","$2,400,000.00 ","$39,100,000.00 ","400,000",24-Aug-15,20.593684,78.96288
88,One Direction,"38,200,000","13,598,903,820",Music,21 Savage,11,United States,US,Music,"539,848","2,904","2,594","6,348",$2.00 ,$25.00 ,$19.00 ,$305.00 ,100,26-Jun-16,37.09024,-95.712891
89,TheEllenShow,"38,200,000","22,756,581,750",Entertainment,TheEllenShow,"15,672",United States,US,Entertainment,93,26,26,"21,804,000","$5,500.00 ","$87,200.00 ","$65,400.00 ","$1,000,000.00 ",0,21-Nov-06,37.09024,-95.712891
90,Sony PAL,"38,200,000","28,519,339,489",Shows,Sony PAL,"24,089",India,IN,Entertainment,49,23,25,"415,914,000","$104,000.00 ","$1,700,000.00 ","$1,200,000.00 ","$20,000,000.00 ","500,000",9-May-14,20.593684,78.96288
91,Daddy Yankee,"38,000,000","22,731,415,608",Music,Daddy Yankee,505,United States,US,Music,92,27,33,"205,594,000","$51,400.00 ","$822,400.00 ","$616,800.00 ","$9,900,000.00 ","100,000",16-May-11,37.09024,-95.712891
92,Vlad vï¿½ï¿½ï,"37,900,000","23,510,152,352",NA,Vlad vï¿½ï¿½ï,515,United States,US,Entertainment,84,28,27,"244,093,000","$61,000.00 ","$976,400.00 ","$732,300.00 ","$11,700,000.00 ","200,000",20-Jul-18,37.09024,-95.712891
93,Like Nastya ESP,"37,600,000","18,208,196,857",Entertainment,Like Nastya ESP,743,United States,US,Entertainment,145,29,28,"321,026,000","$80,300.00 ","$1,300,000.00 ","$963,100.00 ","$15,400,000.00 ","700,000",22-Apr-17,37.09024,-95.712891
94,ýýýýýýýýýýýý one31,"37,500,000","27,262,462,114",Entertainment,ýýýýýýýýýýýý one31,"117,152",Thailand,TH,Entertainment,56,2,29,"140,754,000","$35,200.00 ","$563,000.00 ","$422,300.00 ","$6,800,000.00 ","300,000",10-Jan-13,15.870032,100.992541
95,Jkk Entertainment,"37,200,000","16,402,066,717",Comedy,Jkk Entertainment,220,India,IN,Comedy,178,24,3,"49,861,000","$12,500.00 ","$199,400.00 ","$149,600.00 ","$2,400,000.00 ","100,000",20-Mar-17,20.593684,78.96288
96,ABP NEWS,"37,000,000","13,102,611,515",People & Blogs,ABP NEWS,"301,308",India,IN,News,280,25,2,"267,060,000","$66,800.00 ","$1,100,000.00 ","$801,200.00 ","$12,800,000.00 ","400,000",1-Jun-12,20.593684,78.96288
97,Maria Clara & JP,"37,000,000","24,188,861,917",People & Blogs,Maria Clara & JP,744,Brazil,BR,Entertainment,75,7,30,"251,449,000","$62,900.00 ","$1,000,000.00 ","$754,300.00 ","$12,100,000.00 ","300,000",6-Sep-15,-14.235004,-51.92528
98,Bruno Mars,"36,700,000","19,378,155,425",Music,Bruno Mars,99,United States,US,Music,134,30,34,"175,243,000","$43,800.00 ","$701,000.00 ","$525,700.00 ","$8,400,000.00 ","200,000",19-Sep-06,37.09024,-95.712891
99,Maroon 5,"36,600,000","22,553,923,546",Music,Maroon 5,171,United States,US,Music,96,31,35,"152,825,000","$38,200.00 ","$611,300.00 ","$458,500.00 ","$7,300,000.00 ",0,9-Mar-06,37.09024,-95.712891
100,Ultra Bollywood,"36,600,000","15,653,786,446",Trailers,Ultra Bollywood,"9,168",India,IN,Entertainment,205,26,31,"131,462,000",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"200,000",21-Oct-09,20.593684,78.96288
101,PowerKids TV,"36,500,000","18,961,241,905",Film & Animation,PowerKids TV,"5,621",NA,NA,Film,139,1,6,"318,702,000","$79,700.00 ","$1,300,000.00 ","$956,100.00 ","$15,300,000.00 ","600,000",6-Aug-14,nan,nan
102,YouTube,"36,300,000","3,010,784,935",News & Politics,YouTube,744,United States,US,Entertainment,"2,860",32,5,"21,103,000","$5,300.00 ","$84,400.00 ","$63,300.00 ","$1,000,000.00 ","300,000",1-Jan-70,37.09024,-95.712891
103,News,"36,300,000",0,NA,News,0,NA,NA,NA,"4,057,944",NA,NA,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,9-Sep-13,nan,nan
104,Ozuna,"36,200,000","23,355,801,606",Music,Ozuna,196,NA,NA,Music,87,2,36,"169,242,000","$42,300.00 ","$677,000.00 ","$507,700.00 ","$8,100,000.00 ","100,000",24-Mar-16,nan,nan
105,MrBeast Gaming,"36,100,000","6,331,332,547",Gaming,MrBeastGaming,5,NA,NA,Comedy,"4,057,305",NA,"4,880",32,$0.00 ,$0.10 ,$0.10 ,$2.00 ,1,26-Feb-11,nan,nan
106,La Granja de Zenï¿½,"35,700,000","27,118,354,077",Music,La Granja de Zenï¿½,654,Argentina,AR,Music,58,2,37,"302,071,000","$75,500.00 ","$1,200,000.00 ","$906,200.00 ","$14,500,000.00 ","400,000",6-Jun-13,-38.416097,-63.616672
107,Saregama Music,"35,500,000","15,657,673,422",Entertainment,Saregama Music,"7,566",India,IN,Music,199,27,38,"533,793,000","$133,400.00 ","$2,100,000.00 ","$1,600,000.00 ","$25,600,000.00 ","900,000",4-Jan-13,20.593684,78.96288
108,IndiaTV,"35,500,000","16,105,023,749",News & Politics,IndiaTV,"273,255",India,IN,News,185,27,3,"290,847,000","$72,700.00 ","$1,200,000.00 ","$872,500.00 ","$14,000,000.00 ","600,000",26-Aug-06,20.593684,78.96288
109,T-Series Bollywood Classics,"35,400,000","22,637,783,517",Music,T-Series Bollywood Classics,"2,010",India,IN,Music,94,28,39,"331,474,000","$82,900.00 ","$1,300,000.00 ","$994,400.00 ","$15,900,000.00 ","500,000",2-Apr-12,20.593684,78.96288
